Intel® Product Specification Comparison
12/23/2024 01:43:18 PM
 ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Core™ i9 processor 14900KS ,Intel® Core™ i7 processor 14701TE ,Intel® Core™ i7 processor 14701E ,Intel® Core™ i5 processor 14401E ,Intel® Core™ i9 processor 14901TE ,Intel® Core™ i5 processor 14401TE ,Intel® Core™ i5 processor 14501TE ,Intel® Core™ i5 processor 14501E ,Intel® Core™ i9 processor 14901E 
PCI Express Revision,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0
PCI Express Configurations ‡,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4
Max # of PCI Express Lanes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20

Package Specifications
Sockets Supported,FCBGA1964,FCBGA1964,FCBGA1964,FCBGA1964,FCBGA1964,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TJUNCTION,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C
Max Operating Temperature,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C
Package Size,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm
Thermal Solution Specification,,,,,,PCG 2020A,PCG 2020C,PCG 2020D,PCG 2020C,PCG 2020A,PCG 2020D,PCG 2020C,PCG 2020D,PCG 2020A,PCG 2020C,PCG 2020C,PCG 2020A,PCG 2020C,PCG 2020A,PCG 2020D,PCG 2020D,PCG 2020C,PCG 2020D,PCG 2020A,PCG 2020C,PCG 2020C,PCG 2020C,,PCG 2020C,PCG 2020C,PCG 2020C,PCG 2020C,PCG 2020C,PCG 2020C,PCG 2020C,PCG 2020C

Advanced Technologies
Intel® Volume Management Device (VMD),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Gaussian & Neural Accelerator,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Intel® Thread Director,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Smart Sound Technology,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Wake on Voice,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® High Definition Audio,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPI SoundWire*,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Adaptix™ Technology,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Thermal Velocity Boost,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Yes,,,,,Yes,,,,Yes,,Yes,,,,Yes,,,,Yes
Intel® Turbo Boost Max Technology 3.0 ‡,Yes,Yes,Yes,,,Yes,,,,,,Yes,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Flex Memory Access,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost),,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Adaptive Boost Technology,,,,,,Yes,,,,,,,,,,,Yes,,,,Yes,Yes,,,,Yes,,Yes,,,,Yes,,,,Yes
Intel® Turbo Boost Technology ‡,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® 64 ‡,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Idle States,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Time Coordinated Computing (Intel® TCC)‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Security & Reliability
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secure Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® OS Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Boot Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel vPro® Eligibility ‡,,,,,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,,,,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,,,,,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform
Intel® Hardware Shield Eligibility ‡,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes
Intel® Threat Detection Technology (TDT),,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes
Intel® Active Management Technology (AMT) ‡,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes
Intel® Standard Manageability (ISM) ‡,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Remote Platform Erase (RPE) ‡,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes
Intel® One-Click Recovery ‡,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes
Intel® Control-Flow Enforcement Technology,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Total Memory Encryption - Multi Key,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
Execute Disable Bit ‡,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mode-based Execute Control (MBE),,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Stable Image Platform Program (SIPP),,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,Yes
Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes
