Graphics Max Dynamic Frequency,1.15 GHz,1.10 GHz,1.15 GHz,1.10 GHz,1.20 GHz,1.15 GHz,1.20 GHz,1.05 GHz,1.10 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.10 GHz,1.05 GHz,1.10 GHz,1.15 GHz,1.10 GHz,1.10 GHz,1.20 GHz,1.10 GHz,1.10 GHz,1.00 GHz,1.10 GHz,1.10 GHz,1.00 GHz,1.10 GHz,1.05 GHz,1.10 GHz,1.15 GHz,1.20 GHz,1.20 GHz,1.10 GHz,1.05 GHz,1.05 GHz,1.00 GHz,1.20 GHz,1.10 GHz,1.20 GHz,1.10 GHz,1.05 GHz,1.20 GHz,1.10 GHz,1.00 GHz,1.10 GHz,1.00 GHz,1.15 GHz,1.00 GHz,950 MHz,1.05 GHz,900 MHz,1.05 GHz,1.05 GHz,1.20 GHz,1.05 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.10 GHz,1.05 GHz,1.00 GHz,1.15 GHz,1.05 GHz,1.10 GHz,1.00 GHz
Graphics Video Max Memory,32 GB,32 GB,32 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB,32 GB,32 GB,32 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB,32 GB,32 GB,64 GB,16 GB,16 GB,16 GB,16 GB,64 GB,32 GB,32 GB,32 GB,32 GB,,32 GB,32 GB,32 GB,32 GB,16 GB,32 GB,32 GB
Graphics Output,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,,,,,,,eDP/DP/HDMI/DVI,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI
4K Support,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096 x 2304@24Hz,4096x2304@24Hz,4096 x 2304@24Hz,4096x2304@24Hz,4096 x 2304@24Hz,4096x2304@24Hz,4096 x 2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096 x 2304@24Hz,4096 x 2160 @30Hz,4096 x 2160 @30Hz,4096 x 2160 @30Hz,4096 x 2160 @30Hz,4096 x 2160 @30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096 x 2304@30Hz,4096x2304@30Hz,4096 x 2304@30Hz,4096 x 2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@24Hz,4096 x 2304@30Hz,4096x2304@30Hz,4096 x 2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096 x 2304@24Hz,4096 x 2160 @30Hz,4096 x 2160 @30Hz,4096x2304@24Hz,4096x2304@24Hz,4096 x 2304@24Hz,4096x2304@30Hz,4096x2304@24Hz,4096 x 2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@30Hz,4096 x 2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096 x 2304@30Hz,4096 x 2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096 x 2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz
Max Resolution (DP)‡,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,3840x2160@60Hz,3840 x 2160@60Hz,3840x2160@60Hz,3840x2160@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,3840x2160@60Hz,4096x2304@60Hz,4096x2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2160 @60Hz,4096 x 2160 @60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,3840x2160@60Hz,3840 x 2160@60Hz,3840x2160@60Hz,3840x2160@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,3840x2160@60Hz,4096x2304@60Hz,4096x2304@60Hz
DirectX* Support,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
OpenGL* Support,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Clear Video HD Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Clear Video Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes
# of Displays Supported ‡,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Device ID,0x5917,0x5917,0x5917,0x5917,0x3E92,0x3E92,0x3E92,0x3E92,0x3E91/x92,0x3E91,0x3E92,0x3E92,0x3E92,0x3E92,0x3E92,0x3E91,0x3E91,0x3E91,0x3E92,,,,,,0x3E9B,0x3E9B,0x3E9B,0x3E9B,0x3E9B,0x3E9B,0x3E9B,0x3E9B,0x3EA5,0x3EA5,0x5917,0x3EA5,0x3EA5,0x3E92,0x3E92,0x3E92,0x3E92,,,3EA0 |  3EA1,0x3EA0,0x3EA0,,0x591C,0x591C,0x591C,0x87C0,0x3E9B,0x3EA5,0x3EA6,0x3EA5,0x3EA6,0x3EA0,0x3EA0,0x3EA0,0x3EA0,0x3EA0,0x87C0,0x3EA9,0x3EA9
Intel® InTru™ 3D Technology,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Max Resolution (VGA)‡,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eDRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 MB,128 MB,,128 MB,128 MB,,,,,,,,,,,,,,,,128 MB,128 MB,128 MB,128 MB,,,,,,,,
Graphics Burst Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,23,,,,

Expansion Options
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
PCI Express Configurations ‡,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x8 |  2x4,Up to 1x8 |  2x4,Up to 1x8 |  2x4,Up to 1x8 |  2x4,Up to 1x8 |  2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x8 |  2x4,Up to 1x8 |  2x4,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,Up to 1x16 | 2x8 | 1x8+2x4,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,Up to 1x16 |  2x8 |  1x8+2x4,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1,1x4 |  2x2 |  1x2+2x1 and 4x1
Max # of PCI Express Lanes,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,16,16,16,16,16,16,16,16,16,16,12,16,16,16,16,16,16,8,8,16,16,16,16,10,10,10,10,16,16,16,16,16,16,16,16,16,16,10,16,16
Scalability,,,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,,,,,,,,1S Only,,,,,,,,,1S Only,1S Only,1S Only,1S Only,,,,,,1S Only,,,,,,,,,,,,,,,,,

Package Specifications
Sockets Supported,FCBGA1356 | FC-BGA1356,FCBGA1356 | FC-BGA1356,FCBGA1356 | FC-BGA1356,FCBGA1356 | FC-BGA1356,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCBGA2270,FCBGA2270,FCBGA2270,FCBGA2270,FCBGA2270,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1528,FCBGA1528,FCBGA1356,FCBGA1528,FCBGA1528,FCLGA1151,FCLGA1151,FCLGA1151,,FCBGA2270,FCBGA2270,FCBGA1528,FCBGA1528,FCBGA1528,FCBGA1440,FCBGA1515,FCBGA1515,FCBGA1515,FCBGA1515,FCBGA1440,FCBGA1528,FCBGA1528,FCBGA1528,FCBGA1528,FCBGA1528,FCBGA1528,FCBGA1528,FCBGA1528,FCBGA1528,FCBGA1515,FCBGA1528,FCBGA1528
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TJUNCTION,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,82°C,82°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100,100°C,100,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100,100°C,100°C
Package Size,42mm X 24mm,42mm X 24mm,42mm X 24mm,42mm X 24mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,31mm x 58.5mm,31mm x 58.5mm,31mm x 58.5mm,31mm x 58.5mm,31mm x 58.5mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,46x24,46x24,42mm X 24mm,46x24,46x24,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,31mm x 58.5mm,31mm x 58.5mm,46x24,46x24,46x24,42mm x 28mm,20mm X 16.5mm,20mm X 16.5mm,20mm X 16.5mm,20mm X 16.5mm,42mm x 28mm,46x24,46x24,46x24,46x24,46 x 24,46x24,46 x 24,46 x 24,46x24,20mm X 16.5mm,46x24,46x24
Thermal Solution Specification,,,,,PCG 2015D (130W),PCG 2015D (130W),PCG 2015C (65W),PCG 2015C (65W),PCG 2015C (65W),PCG 2015D (130W),PCG 2015C (65W),PCG 2015A (35W),PCG 2015C (65W),PCG 2015A (35W),PCG 2015A (35W),PCG 2015C (65W),PCG 2015A (35W),PCG 2015A (35W),PCG 2015A (35W),,,,,,,,,,,,,,,,,,,PCG 2015C (65W),PCG 2015C (65W),PCG 2015C (65W),PCG 2015D (130W),,,,,,,,,,,,,,,,,,,,,,,

Advanced Technologies
Intel® Optane™ Memory Supported ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,No,2.0,2.0,2.0,2.0,2.0,No,No,No,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Transactional Synchronization Extensions,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,Yes,Yes,No,Yes,,No,No
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
